num,name,type
1,1990-03-01,depth
2,1990-08-18,mix
3,1990-11-08,mix
4,1991-02-24,mix
5,1991-05-19,mix
6,1991-09-03,mix
7,1991-11-17,depth
8,1992-02-19,mix
9,1992-05-16,mix
10,1992-09-04,depth
11,1992-09-18,mix
12,1992-10-15,depth 
13,1993-02-11,mix
14,1993-05-18,mix
15,1993-08-30,mix
16,1993-09-02,depth
17,1993-10-21,mix
18,1994-02-08,mix
19,1994-05-22,mix
20,1994-09-13,depth
21,1994-10-27,mix
22,1995-03-10,mix
23,1995-05-20,mix
24,1995-08-27,mix
25,1995-09-06,mix
26,1995-11-01,mix
27,1996-02-07,mix
28,1996-08-25,mix
29,1996-10-27,mix
30,1997-02-13,mix
31,1997-05-25,depth
32,1997-08-13,mix
33,1997-08-27,mix
34,1999-09-08,mix
35,1997-09-11,depth
36,1997-12-01,mix
37,1997-12-01,mix
38,1998-05-30,depth
39,1998-08-07,depth
40,1998-09-03,mix
41,1998-09-17,mix
42,1998-09-21,mix
43,1998-09-31,depth
44,1998-10-06,mix
45,1998-11-09,mix
46,1999-02-12,mix	
47,1999-05-22,mix
48,1999-08-06,mix		
49,1999-09-22,mix		
50,1999-11-14,depth
51,2000-02-17,mix
52,2000-05-19,depth
53,2000-08-13,depth
54,2000-11-13,mix
55,2001-02-14,mix
56,2001-05-19,mix		
57,2001-08-11,depth		
58,2001-11-07,depth
59,2002-05-17,mix
60,2002-08-09,depth
61,2002-09-07,depth
62,2002-11-10,mix
63,2003-02-11,depth
64,2003-05-18,mix
65,2003-08-08,mix
66,2003-09-14,depth
67,2003-11-08,mix
68,2004-02-02,mix
69,2004-05-21,mix
70,2004-11-10,depth		
71,2005-02-10,depth		
72,2005-05-22,mix
73,2005-07-26,mix
74,2005-07-28,depth		
75,2005-07-29,mix
76,2005-08-24,mix
77,2005-11-11,mix		
78,2006-02-02,mix
79,2006-05-15,mix
80,2006-09-10,mix
81,2006-11-12,mix
82,2007-02-08,mix
83,2007-05-15,mix
84,2007-07-13,mix
85,2007-08-09,mix
86,2007-11-11,depth
87,2008-02-01,mix		
88,2008-05-16,mix
89,2008-08-08,depth
90,2008-10-12,mix
91,2008-11-22,mix		
92,2009-02-06,depth
93,2009-05-15,mix
94,2009-06-02,mix 
95,2009-08-11,depth
96,2009-11-26,mix
97,2010-02-09,mix
98,2010-05-18,mix
99,2010-07-08,mix
100,2010-08-19,mix
101,2011-02-10,mix
102,2011-05-22,mix
103,2011-08-19,mix
104,2011-08-22,mix
105,2011-11-30,depth
106,2012-02-08,depth
107,2012-05-16,mix
108,2012-06-10,mix
109,2012-07-28,mix
110,2012-08-10,depth
111,2012-08-14,mix
