occ,name,t_sig,grd,t_pvar
1,1990-03-01-kmat_xyz.mat,0,3,0
2,1990-08-18-kmat_xyz.mat,0,2,0
3,1990-11-08-kmat_xyz.mat,5,3,0
4,1991-02-24-kmat_xyz.mat,2,3,0
5,1991-05-19-kmat_xyz.mat,1,3,0
6,1991-09-03-kmat_xyz.mat,0,1,0
7,1991-11-17-kmat_xyz.mat,0,1,0
8,1992-02-19-kmat_xyz.mat,0,3,0
9,1992-05-16-kmat_xyz.mat,0,1,0
10,1992-09-04-kmat_xyz.mat,0,1,0
11,1992-09-18-htxt_xyz.mat,0,1,0
12,1992-10-15-kmat_xyz.mat,3,1,0
13,1993-02-11-kmat_xyz.mat,0,3,0
14,1993-05-18-kmat_xyz.mat,0,3,0
15,1993-08-30-kmat_xyz.mat,0,1,0
16,1993-09-02-htxt_xyz.mat,0,1,0
17,1993-10-21-kmat_xyz.mat,0,3,0
18,1994-02-08-kmat_xyz.mat,0,3,0
19,1994-05-22-kmat_xyz.mat,0,1,0
20,1994-09-13-htxt_xyz.mat,0,1,0
21,1994-10-27-kmat_xyz.mat,0,1,0
22,1995-03-10-kmat_xyz.mat,0,3,0
23,1995-05-20-kmat_xyz.mat,5,3,0
24,1995-08-27-kmat_xyz.mat,0,1,0
25,1995-09-06-htxt_xyz.mat,0,1,0
26,1995-11-01-kmat_xyz.mat,0,1,0
27,1996-02-07-kmat_xyz.mat,0,1,0
28,1996-08-25-kmat_xyz.mat,0,1,0
29,1996-10-27-kmat_xyz.mat,0,1,0
30,1997-02-13-kmat_xyz.mat,1,3,0
31,1997-05-25-odvs_xyz.mat,0,1,0
32,1997-08-13-odvs_xyz.mat,0,1,0
33,1997-08-27-odvs_xyz.mat,0,3,0
34,1997-09-08-odvs_xyz.mat,0,3,1
35,1997-09-11-odvs_xyz.mat,0,1,0
36,1997-12-01-odvs_xyz.mat,2,3,0
37,1998-02-15-odvs_xyz.mat,2,3,0
38,1998-05-30-odvs_xyz.mat,3,1,0
39,1998-08-07-odvs_xyz.mat,0,1,0
40,1998-09-03-odvs_xyz.mat,0,1,0
41,1998-09-17-gmat_xyz.mat,3,3,0
42,1998-09-21-gmat_xyz.mat,0,1,0
43,1998-09-23-gmat_xyz.mat,3,3,0
44,1998-10-06-rdat_xyz.mat,0,1,0
45,1998-11-09-odvs_xyz.mat,0,1,0
46,1999-02-12-odvs_xyz.mat,5,3,0
47,1999-05-22-odvs_xyz.mat,4,3,0
48,1999-08-06-odvs_xyz.mat,0,1,0
49,1999-09-22-odvs_xyz.mat,0,1,0
50,1999-11-14-odvs_xyz.mat,0,1,0
51,2000-02-17-kmat_xyz.mat,0,1,0
52,2000-05-19-kmat_xyz.mat,0,1,0
53,2000-08-13-kmat_xyz.mat,0,1,0
54,2000-11-13-kmat_xyz.mat,1,3,0
55,2001-02-14-kmat_xyz.mat,0,3,0
56,2001-05-19-kmat_xyz.mat,3,1,2
